epoch,train_loss,val_loss,val_mae,val_rmse,kappa,qwk,r2,pearson_corr,step_accuracy,learning_rate,epoch_time
1,0.09675410832268302,0.09828171848040547,21.36040687561035,33.91239929199219,0.16084480348279706,0.2140603164585494,0.010353565216064453,0.26755189895629883,0.5390862944162437,0.00706,0.966414213180542
2,0.09154195315802081,0.09392556488362666,22.61928939819336,35.20498275756836,0.17478016864399504,0.2576156735842141,-0.06652569770812988,0.31737738847732544,0.5147208121827411,0.00706,0.9483044147491455
3,0.08970655717697804,0.09480853739577502,21.076141357421875,33.599613189697266,0.19217463413921343,0.2721600073148147,0.028525054454803467,0.3139505088329315,0.5441624365482234,0.00706,0.9543311595916748
4,0.08977536929721883,0.09574694448921281,20.67005157470703,33.30828094482422,0.1943443737823034,0.272128377099073,0.045298755168914795,0.3205890953540802,0.5482233502538071,0.00706,0.9390943050384521
5,0.08883978904473258,0.09132029689508041,21.888324737548828,34.36442565917969,0.1851356498170963,0.2792656328788411,-0.01620471477508545,0.32895639538764954,0.5258883248730964,0.00706,0.9561853408813477
6,0.08793238451580422,0.09468568208707771,22.294416427612305,34.59996032714844,0.10099584259885908,0.13073283815677472,-0.030182719230651855,0.21575333178043365,0.5208121827411167,0.00706,0.9395391941070557
7,0.08826718589581838,0.0926761070635113,20.385786056518555,32.891143798828125,0.19309752843374184,0.26884642219463106,0.06906139850616455,0.32853075861930847,0.5543147208121827,0.00706,0.8418872356414795
8,0.08746002614822218,0.09212096965101164,21.27918815612793,33.864463806152344,0.17310674652922886,0.23210704852430664,0.0131492018699646,0.2794417440891266,0.5411167512690356,0.00706,0.8108201026916504
9,0.08822168318758118,0.09244452924443985,21.847715377807617,34.717132568359375,0.20177021885672486,0.2776436914525403,-0.03717184066772461,0.3362785875797272,0.5309644670050762,0.00706,0.8424603939056396
10,0.08824684264777587,0.09075711591897277,20.75126838684082,33.35701370239258,0.20745512833233803,0.2965334678979047,0.04250311851501465,0.3442656695842743,0.5472081218274112,0.00706,0.8421552181243896
