gamma,loss,mae,rmse,r2,kappa,qwk,pearson_corr,step_accuracy,mae_step,count,is_best_gamma
0.5,901.018310546875,17.556007385253906,30.0169677734375,0.16645413637161255,0.2983254106251353,0.364955036076386,0.42985308170318604,0.609979633401222,17.55600814663951,982.0,false
1.0,907.53564453125,17.637474060058594,30.12533187866211,0.1604248285293579,0.333040490000988,0.43707843197793483,0.466839998960495,0.6079429735234216,17.637474541751526,982.0,false
2.0,887.9837036132812,17.067209243774414,29.799055099487305,0.17851263284683228,0.3630247692504005,0.4500911394382029,0.4823974668979645,0.6272912423625254,17.067209775967413,982.0,true
4.0,943.380859375,18.452138900756836,30.714506149291992,0.1272639036178589,0.2933092622668264,0.40482854923700784,0.43635883927345276,0.5875763747454175,18.45213849287169,982.0,false
8.0,1037.8818359375,20.244400024414062,32.2161750793457,0.03983956575393677,0.2059155541083253,0.3118937458886373,0.3540283143520355,0.544806517311609,20.24439918533605,982.0,false
