epoch,train_loss,val_loss,val_mae,val_rmse,kappa,qwk,r2,pearson_corr,step_accuracy,learning_rate,epoch_time
1,0.0785434720450352,0.07371703934699751,28.58883285522461,40.86376953125,0.029852261765751176,0.06385614570332365,-0.5329021215438843,0.1626487374305725,0.40913705583756343,0.00101,2.377317428588867
2,0.07228218122065819,0.06947685793269104,24.365482330322266,35.32014465332031,0.0032962821004216547,0.025895260047129276,-0.14520323276519775,0.12529172003269196,0.4639593908629442,0.00101,2.2184062004089355
3,0.07032182078327288,0.06887574466654492,22.781726837158203,34.22232437133789,0.07796251910846042,0.12572278351518063,-0.07511913776397705,0.17900627851486206,0.4964467005076142,0.00101,2.327800989151001
4,0.06895661124940954,0.06980048753888474,25.949237823486328,38.17140197753906,0.08140697453931134,0.1455036049497337,-0.3375614881515503,0.2294268012046814,0.45076142131979696,0.00101,2.236023187637329
5,0.0682742620675317,0.0674103522058671,21.92893409729004,33.47853088378906,0.12604669217545617,0.2109735795434755,-0.028893470764160156,0.2500419318675995,0.5126903553299492,0.00101,2.1551403999328613
6,0.06821847407583985,0.0676438094320031,22.13197898864746,33.93634033203125,0.14689619383354502,0.25713516796670977,-0.05722534656524658,0.30212339758872986,0.5086294416243655,0.00101,2.2913241386413574
7,0.06795769847569749,0.06658371511449669,21.766496658325195,33.33265686035156,0.14323043816343872,0.2631309551933223,-0.019946575164794922,0.30252212285995483,0.5116751269035533,0.00101,2.2157094478607178
8,0.06816006710784442,0.06617679630741856,22.741117477416992,34.717132568359375,0.14054657988543462,0.24052513882884996,-0.10643327236175537,0.29297247529029846,0.500507614213198,0.00101,2.225041627883911
9,0.06778807252671419,0.06672180186068347,21.685279846191406,33.33265686035156,0.1418703410064337,0.24744154251362172,-0.019946575164794922,0.28395333886146545,0.5147208121827411,0.00101,2.2123448848724365
10,0.06730968430605905,0.06592865032593005,21.766496658325195,33.57543182373047,0.15774157040975811,0.2654040659125736,-0.034858107566833496,0.3085743188858032,0.516751269035533,0.00101,1.9870684146881104
11,0.06683773790470358,0.06676211798100302,21.807106018066406,33.45426559448242,0.13037188166558478,0.2046201680849542,-0.027402281761169434,0.2464878112077713,0.516751269035533,0.00101,1.9820797443389893
12,0.067038545982119,0.06657329012597273,21.685279846191406,33.13715362548828,0.1314862297319731,0.23139255702280903,-0.008017420768737793,0.272040992975235,0.5147208121827411,0.00101,1.9752867221832275
