epoch,train_loss,val_loss,val_mae,val_rmse,kappa,qwk,r2,pearson_corr,step_accuracy,learning_rate,epoch_time
1,0.05490443767569204,0.051946013202310334,23.095722198486328,35.073387145996094,0.03898125985638701,0.051034069644507296,-0.10065340995788574,0.1601938158273697,0.5020366598778004,0.00706,20.305928468704224
2,0.04531465865410125,0.04612866384707497,19.103870391845703,32.165557861328125,0.24715942681256986,0.27239567897057027,0.07428485155105591,0.3391543924808502,0.5906313645621182,0.00706,21.230812072753906
3,0.041415363466129576,0.0437281913220761,18.37067222595215,31.860183715820312,0.29538040463069126,0.32465751912483853,0.0917786955833435,0.3749752342700958,0.604887983706721,0.00706,19.823936939239502
4,0.04066517533775454,0.044166135698435506,19.87779998779297,32.543251037597656,0.193224723814851,0.22854166213436422,0.0524175763130188,0.3217548727989197,0.5692464358452138,0.00706,19.67260980606079
5,0.03773553438642224,0.0441099495841323,18.28920555114746,31.860183715820312,0.2932545320647768,0.3177650551220088,0.0917786955833435,0.36863473057746887,0.6059063136456212,0.00706,20.539149045944214
6,0.036465195502419084,0.043380912234001395,19.06313705444336,32.34236526489258,0.25499091872256696,0.2744593925862844,0.0640801191329956,0.3302360475063324,0.5916496945010183,0.00706,19.805846452713013
7,0.03530610741932511,0.04135630892821096,19.30753517150879,32.19087600708008,0.22237926334376257,0.24962694726319856,0.0728270411491394,0.34147611260414124,0.5835030549898167,0.00706,20.36051869392395
8,0.03376558753015144,0.04224287077799713,17.963340759277344,31.65496253967285,0.30786425750013025,0.3265256964687566,0.10344123840332031,0.3787977993488312,0.6140529531568228,0.00706,19.71247148513794
9,0.032673684883386005,0.045860910568151114,19.959266662597656,32.49314498901367,0.23937268892997454,0.3871874235592546,0.05533325672149658,0.40755486488342285,0.5631364562118126,0.00706,20.962055444717407
10,0.03165510289025042,0.04096080939799487,21.873727798461914,34.369503021240234,0.21257728759964378,0.3293701853969524,-0.05691885948181152,0.3760242462158203,0.5315682281059063,0.00706,21.457599639892578
11,0.029829082405509345,0.041702371758319694,18.900203704833984,31.83460235595703,0.28372034530151,0.3723795373230334,0.09323650598526001,0.4033985435962677,0.5865580448065173,0.00706,21.455575466156006
