epoch,train_loss,val_loss,val_mae,val_rmse,kappa,qwk,r2,pearson_corr,step_accuracy,learning_rate,epoch_time
1,0.07538580378923172,0.06726686667855791,20.7739315032959,32.79262924194336,0.21318984420285358,0.31233222633661895,0.005171298980712891,0.3759191036224365,0.539714867617108,0.00101,99.81659030914307
2,0.06545120572372021,0.06476470298473315,18.28920555114746,30.87323760986328,0.28594932060227685,0.35593056916512134,0.11821997165679932,0.40379324555397034,0.5967413441955194,0.00101,89.09094309806824
3,0.0617057506310958,0.05930206236522455,17.963340759277344,30.287151336669922,0.28970432190103435,0.37815245143801957,0.15138095617294312,0.4277573823928833,0.5987780040733197,0.00101,86.60754871368408
4,0.05742109955861232,0.05984943167376664,19.714868545532227,32.19087600708008,0.2689779682507657,0.36906929052723025,0.041346848011016846,0.41429638862609863,0.5641547861507128,0.00101,83.0315043926239
5,0.05468443469112933,0.05966870130898996,17.515274047851562,30.367738723754883,0.32755730168503916,0.3968229163275361,0.14685899019241333,0.4464341998100281,0.6160896130346232,0.00101,85.25406074523926
6,0.05123324397523366,0.05880411597473315,18.533605575561523,31.188278198242188,0.3300744783438314,0.43632566645321713,0.10013216733932495,0.45677047967910767,0.5936863543788188,0.00101,86.30194902420044
7,0.04613805484860739,0.057852979430780875,17.47454261779785,30.978607177734375,0.3751525378816932,0.433739233274005,0.11219072341918945,0.46348387002944946,0.6283095723014257,0.00101,85.80564093589783
8,0.04306754982332427,0.06205633278488506,17.067209243774414,29.799055099487305,0.3630247692504005,0.4500911394382029,0.17851263284683228,0.4823974668979645,0.6272912423625254,0.00101,85.38296818733215
9,0.0380836455539236,0.07269590489505628,20.0,33.55392074584961,0.34106030836857715,0.40864098331796583,-0.04155552387237549,0.42711836099624634,0.5896130346232179,0.00101,85.22811198234558
10,0.03564442434099042,0.07550709302747687,19.511201858520508,32.568275451660156,0.3287471041430956,0.41881658160343116,0.01873713731765747,0.4337603747844696,0.5865580448065173,0.00101,85.85915470123291
11,0.03197737149114582,0.07522642190232418,18.533605575561523,31.292587280273438,0.34107282700464947,0.4596184801100206,0.09410291910171509,0.469606876373291,0.5977596741344195,0.00101,85.19649934768677
